serial,year_built,reg_date,previous,type,manufacturer,build_place,registration
1482,2018,2025.12.11,G-IACZ F-WWEH,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZU
1236,2015,2025.10.10,CS-DJE PR-AQY F-WWEK,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-YGK
781,1987,1995.05.24,C-FASJ (G-31-781),BAe Jetstream 3102,British Aerospace PLC,"Prestwick, UK",OY-SVY
,,1990.07.25,Cancelled NTU,,,,OY-SLV
051,2002,2002.07.22,N293GA (4X-CVF),Gulfstream 200,Gulfstream American Corporation,"Tel Aviv, Israel",OY-RAK
7436,2000,2003.04.23,G-MSKT C-FMKZ,Bombardier CL-600-2B19 Regional Jet.100,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-MBI
85/330,1987,2013.02.13,D-KBLI,Schempp-Hirth Ventus cT,Schempp-Hirth Flugzeugbau GmbH,"Kirchheim unter Teck, Germany",OY-LXA
525A-0005,2000,2002.09.11,N372CT N552CJ N3235G,Cessna 525A Citationjet CJ2,Cessna Aircraft Company,"Wichita, KS, USA",OY-LLA
39029,2014,2026.02.18,LZ-DDI LN-NGS N1796B,Boeing 737-8JP,Boeing Company,"Renton, WA, USA",OY-JYH
39163,2009,2026.02.03,LZ-DDG SE-RRB LN-DYB,Boeing 737-8JP,Boeing Company,"Renton, WA, USA",OY-JYG
LJ-972,1981,2017.03.08,G-VBCD HB-GJH N18080,Beech C90 King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-JJT
3449136,1999,1999.11.30,Cancelled 2026.01.16,Piper PA-34-220T Seneca 5,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-JAU
2453,,1998.08.04,HB-XGG,Aérospatiale AS.315B Lama,Aérospatiale (SNIAS),"Marignane, France",OY-HVD
,,,,,,,OY-HST (1)
,,,,,,,OY-HIA (2)
BL-40,1981,1992.08.07,VH-NSR N44344 VH-OTH N3837R,Beech 200C Super King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-GEB
20251,2009,2009.06.15,C-FWUC,Bombardier BD-100-1A10 Challenger 300,Bombardier Inc Canada,"Dorval, Que, Canada",OY-EKS
24-0925,1979,2026.03.09,G-BHJI N3753H,Mooney M-20J Mooney 201,Mooney Aircraft Corporation,"Kerrville, TX, USA",OY-EIK
7384,2000,2020.01.20,D-AGRA 2-CFMM S5-AAG C-FMMT,Bombardier CL-600-2B19 Regional Jet 200ER,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-CRJ
7114,1996,2017.10.27,VQ-BGH C-GGDU D-ACLW C-FMMT,Bombardier CL-600-2B19 Regional Jet.100,Canadair Ltd,"Mirabel, Montreal, Canada",OY-BPO
,,,,,,,OY-BBO (2)
,,,,,,,OY-BBM (2)
1135,1971,1972.04.26,Cancelled 1985.02.06,Transavia PL-12 Airtruk,Transavia Corporation,"Sydney, Australia",OY-DRL
483-50/TC,2015,2015.03.20,Cancelled 2018.03.09,Vulcanair P.68C-TC,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-GNS
LJ-1610,2000,2000.12.21,N44406,Beech C90A King Air,Raytheon Aircraft Company,"Wichita, KS, USA",OY-LSA
,,,,,,,OY-ACM (2)
1064,2012,2025.05.28,OE-LTH ES-ATH EI-GIW VT-JCY F-WWEZ,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZD
19000050,2006,2025.03.24,XT-ABY 2-CYAS TC-YAS EI-FGP JY-EME PT-SGZ,EMBRAER ERJ 190-200,EMBRAER,"Sao José dos Campos, Brazil",OY-YGF
4407,2012,2023.02.08,SP-EQB C-GMXR,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YFS
9544,2013,2014.02.12,C-GUDZ,Bombardier BD-700-1A11 Global 5000,Bombardier Inc Canada,"Dorval, Que, Canada",OY-VIZ
3449074,1998,2015.12.14,D-GGOH N41238,Piper PA-34-220T Seneca 5,"Piper Aircraft, Inc","Vero Beach, FL, USA",OY-TIP
30650,2002,2009.09.15,PH-HZV,Boeing 737-8K2,Boeing Company,"Renton, WA, USA",OY-TDB
3449251,2002,2002.07.18,N53489,Piper PA-34-220T Seneca 5,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-LAK
60-369,2009,2009.06.04,Cancelled 2012.03.28,Learjet 60XR,Bombardier Inc Canada,"Wichita, KS, USA",OY-KYS
3227,2007,2013.10.15,VT-INL F-WWBC,Airbus A320-232,Airbus Industrie,"Toulouse, France",OY-KAU
3919,2005,2005.04.28,(F-WWXB),Eurocopter AS 350B3 Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HGO
