serial,year_built,reg_date,previous,type,manufacturer,build_place,registration,notes,year_reg
1482,2018.0,2025.12.11,G-IACZ F-WWEH,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZU,"F-WWEH, G-IACZ, OY-NZU, EC-",
1236,2015.0,2025.10.10,CS-DJE PR-AQY F-WWEK,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-YGK,"F-WWEK, PR-AQY, CS-DJE, OY-YGK, VT-",2025-2026
781,1987.0,1995.05.24,C-FASJ (G-31-781),BAe Jetstream 3102,British Aerospace PLC,"Prestwick, UK",OY-SVY,"G-31-981, JA8865, OY-SVY (2) Sun-Air, TF-ORC, WFU stored 2020",2003-2007
781,1987.0,1995.05.24,C-FASJ (G-31-781),BAe Jetstream 3102,British Aerospace PLC,"Prestwick, UK",OY-SVY,"G-31-781, C-FASJ, OY-SVY (1) Sun-Air, SE-LGM, G-EEST, damaged in hard landing 17.9.2003 Wick",1995-1997
,,1990.07.25,Cancelled NTU,,,,OY-SLV,"315-SL, F-GGKP, HA-SLV, OY-SLV, ZK-OUI",2013-2025
051,2002.0,2002.07.22,N293GA (4X-CVF),Gulfstream 200,Gulfstream American Corporation,"Tel Aviv, Israel",OY-RAK,"4X-CVF, N293GA, OY-RAK, LN-SUS, N140KR, B-8089, N283DJ, N1125A, T7-T8W77",2002-2004
051,2002.0,2002.07.22,N293GA (4X-CVF),Gulfstream 200,Gulfstream American Corporation,"Tel Aviv, Israel",OY-RAK,"(OY-RAK), N409LM",
7436,2000.0,2003.04.23,G-MSKT C-FMKZ,Bombardier CL-600-2B19 Regional Jet.100,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-MBI,"C-FMKZ, G-MSKT, OY-MBI Maersk Air, Cimber Air, Cimber Sterling, EW-303PJ, WFU and stored Minsk, Belarus 2019, training aid at Belarussian State Academy of Aviation, Minsk 2023-",2003-2010
85/330,1987.0,2013.02.13,D-KBLI,Schempp-Hirth Ventus cT,Schempp-Hirth Flugzeugbau GmbH,"Kirchheim unter Teck, Germany",OY-LXA,"D-KBLI, OY-LXA competition number L8 ""Lotte"", exported",2013-2026
525A-0005,2000.0,2002.09.11,N372CT N552CJ N3235G,Cessna 525A Citationjet CJ2,Cessna Aircraft Company,"Wichita, KS, USA",OY-LLA,"N5235G, N552CJ, N372CT, OY-LLA, I-LALL, 9H-ALL, (PS-IEG), N7775A, PS-IEG",2002-2003
39029,2014.0,2026.02.18,LZ-DDI LN-NGS N1796B,Boeing 737-8JP,Boeing Company,"Renton, WA, USA",OY-JYH,"N1796B, LN-NGS, LZ-DDI, OY-JYH",2026
39163,2009.0,2026.02.03,LZ-DDG SE-RRB LN-DYB,Boeing 737-8JP,Boeing Company,"Renton, WA, USA",OY-JYG,"LN-DYB, SE-RRB, LZ-DDG, OY-JYG, Jettime",2026
LJ-972,1981.0,2017.03.08,G-VBCD HB-GJH N18080,Beech C90 King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-JJT,"N18080, HB-GJH, G-VBCD, OY-JJT, exported",2017-2026
3449136,1999.0,1999.11.30,Cancelled 2026.01.16,Piper PA-34-220T Seneca 5,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-JAU,"Air Alpha, Karlog Air, N561JT",1999-2026
2453,,1998.08.04,HB-XGG,Aérospatiale AS.315B Lama,Aérospatiale (SNIAS),"Marignane, France",OY-HVD,"HB-XGG, EC-DNZ, HB-XGG, (OY-HVD Air Alpha), I-BXWB, TI-BLE",-
,,,,,,,OY-HST (1),"OY-HST Royal Flush Chartering ApS, N14GH, OK-EJG, VT-BGM",2008-2014
,,,,,,,OY-HIA (2),"SE-JYI, (9H-...), OM-HAT, OY-HIA",2026
BL-40,1981.0,1992.08.07,VH-NSR N44344 VH-OTH N3837R,Beech 200C Super King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-GEB,"N3837R, VH-OTH, N44344, VH-NSR, OY-GEB Aviation Assistance, ZS-PRB, N5128B, N250NC, CC-DKN",1992-2005
20251,2009.0,2009.06.15,C-FWUC,Bombardier BD-100-1A10 Challenger 300,Bombardier Inc Canada,"Dorval, Que, Canada",OY-EKS,"C-FWUC, OY-EKS Anpartsselskabet af 19/9 2006, OE-HPG, N260BA, N949WW",2009-2011
24-0925,1979.0,2026.03.09,G-BHJI N3753H,Mooney M-20J Mooney 201,Mooney Aircraft Corporation,"Kerrville, TX, USA",OY-EIK,"N3753H, G-BHJI, OY-EIK",2026
7384,2000.0,2020.01.20,D-AGRA 2-CFMM S5-AAG C-FMMT,Bombardier CL-600-2B19 Regional Jet 200ER,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-CRJ,"C-FMMT, S5-AAG, 2-CFMM, D-AGRA, OY-CRJ Global Reach Aviation, WFU and stored",2020-2026
7114,1996.0,2017.10.27,VQ-BGH C-GGDU D-ACLW C-FMMT,Bombardier CL-600-2B19 Regional Jet.100,Canadair Ltd,"Mirabel, Montreal, Canada",OY-BPO,"C-FMMT, D-ACLW, C-GGDU,  VQ-BGH, N264AV, OY-BPO BackBone Aviation, C-GBUX, XA-MCO, C-FKGI",2017-2018
,,,,,,,OY-BBO (2),"PR-GLU, OY-BBO, N31190, PS-FRV",2024-2025
,,,,,,,OY-BBM (2),"N763GD, (OY-BBM), N763GD, OY-BBM","(2023)
2026"
1135,1971.0,1972.04.26,Cancelled 1985.02.06,Transavia PL-12 Airtruk,Transavia Corporation,"Sydney, Australia",OY-DRL,"VH-ETE, OY-DRL crashed 21.6.1981 at Tirstrup. On display at Baks Traktor- og Landbrugsmaskinmuseum‎, Erslev, Mors, Hjallerup Mekaniske Museum",1972-1985
483-50/TC,2015.0,2015.03.20,Cancelled 2018.03.09,Vulcanair P.68C-TC,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-GNS,"OY-GNS, BioFlight A/S, G-PDGX, OY-GNS","2015-2018

2026"
LJ-1610,2000.0,2000.12.21,N44406,Beech C90A King Air,Raytheon Aircraft Company,"Wichita, KS, USA",OY-LSA,"N44406, OY-LSA, F-GULY, G-GULY, (2-GULY), VH-VVB",2000-2007
,,,,,,,OY-ACM (2),"N75BH, OY-ACM (2)",2026
1064,2012.0,2025.05.28,OE-LTH ES-ATH EI-GIW VT-JCY F-WWEZ,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZD,"F-WWEZ, VT-JCY, EI-GIW, ES-ATH, OE-LTH, OY-NZD, 5N-GAC",2025
19000050,2006.0,2025.03.24,XT-ABY 2-CYAS TC-YAS EI-FGP JY-EME PT-SGZ,EMBRAER ERJ 190-200,EMBRAER,"Sao José dos Campos, Brazil",OY-YGF,"PT-SGZ, JY-EME, EI-FGP, TC-YAS, 2-CYAS, XY-ABY, OY-YGF NAC, 2_YYGF",2025-2025
4407,2012.0,2023.02.08,SP-EQB C-GMXR,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YFS,"C-GMXR, SP-EQB, OY-YFS, N4407M, C-FKQX, JA46GA",2023-2023
9544,2013.0,2014.02.12,C-GUDZ,Bombardier BD-700-1A11 Global 5000,Bombardier Inc Canada,"Dorval, Que, Canada",OY-VIZ,"C-GUDZ, OY-VIZ ExecuJet Europe A/S , TC-EGG, TC-NKS",2014-2024
3449074,1998.0,2015.12.14,D-GGOH N41238,Piper PA-34-220T Seneca 5,"Piper Aircraft, Inc","Vero Beach, FL, USA",OY-TIP,"N41238, D-GGOH, OY-TIP, exported",2015-2026
30650,2002.0,2009.09.15,PH-HZV,Boeing 737-8K2,Boeing Company,"Renton, WA, USA",OY-TDB,"PH-HZV, OY-TDB Transavia, PH-HZV, F-GZHG, PH-HZV, 9H-AKP",2009-2011
3449251,2002.0,2002.07.18,N53489,Piper PA-34-220T Seneca 5,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-LAK,"N53489, OY-LAK Air Alpha, REKA A/S, LN-AAY, D-ICON, F-HPMI, D-GOAL",2002-2007
60-369,2009.0,2009.06.04,Cancelled 2012.03.28,Learjet 60XR,Bombardier Inc Canada,"Wichita, KS, USA",OY-KYS,"N10873, OY-KYS Air Alpha A/S, M-MARI, UR-ISH, T7-ISH, YL-MGM, P4-USA, N10873",2009-2012
3227,2007.0,2013.10.15,VT-INL F-WWBC,Airbus A320-232,Airbus Industrie,"Toulouse, France",OY-KAU,"F-WWBC, VT-INL, OY-KAU SAS ""Hjorvard Viking"", ZS-SZO",2013-2026
3919,2005.0,2005.04.28,(F-WWXB),Eurocopter AS 350B3 Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HGO,"F-WWXB, OY-HGO Air Greenland A/S, F-HRTK, D-HAUL",2005-2025
9094,2001.0,2003.08.06,ZS-DLJ C-GIOX,Bombardier BD-700-1A10 Global Express,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-GLA,"C-GIOX, ZS-OLJ (error), ZS-DLJ, OY-GLA Execujet Scandinavia A/S, A6-EJB, EC-KJH, G-SENT, 2-JFJC, 9H-AYS, 9H-NSV, CS-NSV",2003-2004
