registration,type,manufacturer,year_built,serial,mtom,reg_date,category
LN-ABA,RV-6,"Berge, Jan Milton",2004,24921,726.00,02.06.2005,Fly
LN-ABC,RV-8,"Kobro, Terje",2002,81104,816.00,17.10.2006,Fly
LN-ABD,Super Emeraude CP-328,Claude Piel,2005,1,701.00,24.03.2006,Fly
LN-ABE,U206G,Textron Aviation Inc.,1978,U206-04218,1633.00,21.06.2002,Fly
LN-ABL,RV-6A,Håkon Haugen,2008,60471,748.00,15.05.2008,Fly
LN-ABM,Europa XS,Europa Aircraft,2005,381,657.70,25.01.2012,Fly
LN-ABO,185A,Textron Aviation Inc.,1962,185-0439,1451.00,01.12.2003,Fly
LN-ABQ,FR172F,Reims Aviation S.A.,1968,F172-0086,1134.00,27.02.2023,Fly
LN-ABS,RV-4,"Van`s Aircraft, inc.",1994,1416,680.00,22.12.1995,Fly
LN-ABY,Osprey GP-4,"Lie, Tore Jostein",2013,0033,909.00,05.02.2010,Fly
LN-ABZ,DA 50 C,Diamond Aircraft Industries GmbH,2022,50.C.A.A.020,1999.00,10.11.2023,Fly
LN-ACA,FR172K,Reims Aviation S.A.,1977,FR172-00614,1157.00,30.06.2004,Fly
LN-ACB,Aero Composites Sea Hawker,"Prytz, Kjell",1990,210,725.00,18.11.1994,Fly
LN-ACF,PA-19,"Piper Aircraft, Inc.",1953,18-3232,680.00,09.06.1992,Fly
LN-ACG,PA-19,"Piper Aircraft, Inc.",1953,18-3237,680.00,09.06.1992,Fly
LN-ACH,PA-19,"Piper Aircraft, Inc.",1953,18-3238,680.00,09.06.1992,Fly
LN-ACI,PA-19,"Piper Aircraft, Inc.",1953,18-3239,680.00,09.06.1992,Fly
LN-ACJ,PA-19,"Piper Aircraft, Inc.",1953,18-3241,680.00,09.06.1992,Fly
LN-ACK,PA-19,"Piper Aircraft, Inc.",1953,18-3244,680.00,09.06.1992,Fly
LN-ACL,PA-19,"Piper Aircraft, Inc.",1953,18-3248,680.00,09.06.1992,Fly
LN-ACM,F182Q,Reims Aviation S.A.,1980,F182-0141,1338.00,10.05.2005,Fly
LN-ACN,Extra 230,Extra Flugzeugproduktions- und Vertriebs GmbH,1984,L30-004,599.00,20.04.1995,Fly
LN-ACO,PA-28RT-201T,"Piper Aircraft, Inc.",1982,28R-8231048,1315.00,22.10.2021,Fly
LN-ACP,P210N,Textron Aviation Inc.,1979,P210-00207,1814.00,27.09.2004,Fly
LN-ACQ,MFI 9 Junior,Malmö Flygindustri,1967,55,575.00,21.09.2004,Fly
LN-ACR,M20K,Mooney Aircraft Corporation,1985,25-0875,1315.00,22.08.2005,Fly
LN-ACS,PA-28-140,"Piper Aircraft, Inc.",1969,28-26160,975.00,11.11.2004,Fly
LN-ACZ,U206G,Textron Aviation Inc.,1977,U206-03724,1633.00,04.05.2005,Fly
LN-ADA,182T,Textron Aviation Inc.,2007,18281930,1406.00,05.08.2022,Fly
LN-ADC,DH-82A,DeHavilland Aircraft Co. LTD,1935,3318,828.00,29.04.2013,Fly
LN-AEC,PA-28-180,"Piper Aircraft, Inc.",1972,28-7205275,1090.00,20.09.1972,Fly
LN-AED,172N,Textron Aviation Inc.,1977,172-68157,1043.00,28.01.1993,Fly
LN-AEH,PA-18-150,"Piper Aircraft, Inc.",1966,18-8472,794.00,31.01.1967,Fly
LN-AEK,PA-18-150,"Piper Aircraft, Inc.",1967,18-8531,794.00,23.06.1967,Fly
LN-AER,PA-18-150,"Piper Aircraft, Inc.",1964,18-8150,794.00,26.06.1964,Fly
LN-AEW,MX-7-180C,"Maule Aerospace Technology, Inc.",1986,11025C,1134.00,25.10.1991,Fly
LN-AGM,172S,Textron Aviation Inc.,2004,172S9674,1157.00,19.08.2004,Fly
LN-AGT,172S,Textron Aviation Inc.,2006,172S10123,1157.00,04.04.2006,Fly
LN-AGW,172S,Textron Aviation Inc.,2005,172S9793,1157.00,04.06.2012,Fly
LN-AHN,Pitts S-2A,"Aerotek , Inc.",1971,2006,714.00,11.12.2008,Fly
LN-AIA,YAK-52,Aerostar SA,1994,9411809,1305.00,26.05.2015,Fly
LN-AKC,RV-7,"Van`s Aircraft, inc.",2014,72397,839.00,17.09.2013,Fly
LN-AKG,T206H,Textron Aviation Inc.,2002,T20608346,1633.00,07.10.2010,Fly
LN-AKH,RV-4,"Holteng, Arne Kristian",1996,2751,680.00,20.08.1997,Fly
LN-AKT,LONG-EZ,"Prytz, Kjell",1985,1043,602.00,21.05.1987,Fly
LN-ALB,F172 N,Reims Aviation S.A.,1977,F172-1566,1043.00,25.05.1977,Fly
LN-ALE,F172 M,Textron Aviation Inc.,1975,F172-1385,1043.00,15.07.1977,Fly
LN-ALG,F172 N,Reims Aviation S.A.,1977,F172-1668,1043.00,12.08.2021,Fly
