registration,type,construction_no,year_mfr,year_reg,icao,notes
OY-NZU,SNIAS ATR 72-212A 600 Version,1482,,,,"F-WWEH, G-IACZ, OY-NZU, EC-"
OY-YGK,ATR-72-600,1236,2015,2025-2026,,"F-WWEK, PR-AQY, CS-DJE, OY-YGK, VT-"
OY-SVY,British Aerospace BAe 3217 Jetstream,981,1993,2003-2007,JS32,"G-31-981, JA8865, OY-SVY (2) Sun-Air, TF-ORC, WFU stored 2020"
OY-SLV,Max Holste MH.1521M Broussard,303,1961,2013-2025,BROU,"315-SL, F-GGKP, HA-SLV, OY-SLV, ZK-OUI"
OY-RAK,Israel Aircraft Industries 1126 Galaxy,051,2001,2002-2004,GALX,"4X-CVF, N293GA, OY-RAK, LN-SUS, N140KR, B-8089, N283DJ, N1125A, T7-T8W77"
OY-MBI,Canadair CL-600-2B19 Regional Jet CRJ-200LR,7436,2000,2003-2010,CRJ2,"C-FMKZ, G-MSKT, OY-MBI Maersk Air, Cimber Air, Cimber Sterling, EW-303PJ, WFU and stored Minsk, Belarus 2019, training aid at Belarussian State Academy of Aviation, Minsk 2023-"
OY-LXA,Schempp-Hirth Ventus cT,85/330,1987,2013-2026,,"D-KBLI, OY-LXA competition number L8 ""Lotte"", exported"
OY-LLA,Cessna 525A CitationJet II,525A-0005,2000,2002-2003,C25A,"N5235G, N552CJ, N372CT, OY-LLA, I-LALL, 9H-ALL, (PS-IEG), N7775A, PS-IEG"
OY-JYH,Boeing 737-8JP,39029/4767,,2026,,"N1796B, LN-NGS, LZ-DDI, OY-JYH"
OY-JYG,Boeing 737-8JP,39163/3054,2009,2026,,"LN-DYB, SE-RRB, LZ-DDG, OY-JYG, Jettime"
OY-JJT,Beech C90XP King Air,LJ-972,1981,2017-2026,BE9L,"N18080, HB-GJH, G-VBCD, OY-JJT, exported"
OY-JAU,Piper PA-34-220T Seneca V,3449136,1999,1999-2026,PA34,"Air Alpha, Karlog Air, N561JT"
OY-HVD,Aerospatiale SA.315B Lama,2453,1976,-,LAMA,"HB-XGG, EC-DNZ, HB-XGG, (OY-HVD Air Alpha), I-BXWB, TI-BLE"
OY-HST (1),Agusta A109S,22079,2008,2008-2014,A109,"OY-HST Royal Flush Chartering ApS, N14GH, OK-EJG, VT-BGM"
OY-HIA (2),Airbus Helicopters H125 (AS 350B3e),9228,,2026,,"SE-JYI, (9H-...), OM-HAT, OY-HIA"
OY-GEB,Beech B200C Super King Air,BL-40,1981,1992-2005,BE20,"N3837R, VH-OTH, N44344, VH-NSR, OY-GEB Aviation Assistance, ZS-PRB, N5128B, N250NC, CC-DKN"
OY-EKS,Bombardier BD100-1A10 Challenger 300,20251,2009,2009-2011,CL30,"C-FWUC, OY-EKS Anpartsselskabet af 19/9 2006, OE-HPG, N260BA, N949WW"
OY-EIK,Mooney M-20J 201,24-0925,1979,2026,,"N3753H, G-BHJI, OY-EIK"
OY-CRJ,Canadair CL-600-2B19 Regional Jet CRJ-200LR,7384,2000,2020-2026,CRJ2,"C-FMMT, S5-AAG, 2-CFMM, D-AGRA, OY-CRJ Global Reach Aviation, WFU and stored"
OY-BPO,Bombardier CL-600-2B19 CJR-100LR,7114,1996,2017-2018,CRJ2,"C-FMMT, D-ACLW, C-GGDU,  VQ-BGH, N264AV, OY-BPO BackBone Aviation, C-GBUX, XA-MCO, C-FKGI"
OY-BBO (2),Embraer EMB-500 Praetor 600,55020201,2024,2024-2025,,"PR-GLU, OY-BBO, N31190, PS-FRV"
OY-BBM (2),Gulfstream GVIII-G700,87063,2024,"(2023)
2026",,"N763GD, (OY-BBM), N763GD, OY-BBM"
OY-DRL,Transavia PL-12 MK.2 Airtruk,1135,1971,1972-1985,PL12,"VH-ETE, OY-DRL crashed 21.6.1981 at Tirstrup. On display at Baks Traktor- og Landbrugsmaskinmuseum‎, Erslev, Mors, Hjallerup Mekaniske Museum"
OY-GNS,Vulcanair P.68C-TC,483-50/TC,2015,"2015-2018

2026",P68,"OY-GNS, BioFlight A/S, G-PDGX, OY-GNS"
OY-LSA,Beech 65-C90B King Air,LJ-1610,2000,2000-2007,BE9L,"N44406, OY-LSA, F-GULY, G-GULY, (2-GULY), VH-VVB"
OY-ACM (2),Cirrus SR22 GTS G7,11095,,2026,,"N75BH, OY-ACM (2)"
OY-NZD,Aeritalia/SNIAS ATR 72-212A,1064,2012,2025,,"F-WWEZ, VT-JCY, EI-GIW, ES-ATH, OE-LTH, OY-NZD, 5N-GAC"
OY-YGF,EMBRAER EMB 190-200,19000050,2006,2025-2025,,"PT-SGZ, JY-EME, EI-FGP, TC-YAS, 2-CYAS, XY-ABY, OY-YGF NAC, 2_YYGF"
OY-YFS,Bombardier DHC-8 Series 402NG,4407,2012,2023-2023,,"C-GMXR, SP-EQB, OY-YFS, N4407M, C-FKQX, JA46GA"
OY-VIZ,Bombardier BD-700-1A11 Global 5000,9544,2013,2014-2024,GL5T,"C-GUDZ, OY-VIZ ExecuJet Europe A/S , TC-EGG, TC-NKS"
OY-TIP,Piper PA-34-220T Seneca V,3449074,1998,2015-2026,PA34,"N41238, D-GGOH, OY-TIP, exported"
OY-TDB,Boeing 737-8K2(WL),"30650
1158",2002,2009-2011,B738,"PH-HZV, OY-TDB Transavia, PH-HZV, F-GZHG, PH-HZV, 9H-AKP"
OY-LAK,Piper PA-34-220T  Seneca V,3449251,2002,2002-2007,PA34,"N53489, OY-LAK Air Alpha, REKA A/S, LN-AAY, D-ICON, F-HPMI, D-GOAL"
OY-KYS,Learjet 60 (LJ60XR),60-369,2009,2009-2012,LJ60,"N10873, OY-KYS Air Alpha A/S, M-MARI, UR-ISH, T7-ISH, YL-MGM, P4-USA, N10873"
OY-KAU,Airbus A320-232,3227,2007,2013-2026,A320,"F-WWBC, VT-INL, OY-KAU SAS ""Hjorvard Viking"", ZS-SZO"
OY-HGO,Aerospatiale AS.350B3+ Ecureuil,3919,2005,2005-2025,AS50,"F-WWXB, OY-HGO Air Greenland A/S, F-HRTK, D-HAUL"
OY-GLA,Bombardier BD-700-1A10  Global Express,9094,2001,2003-2004,GLEX,"C-GIOX, ZS-OLJ (error), ZS-DLJ, OY-GLA Execujet Scandinavia A/S, A6-EJB, EC-KJH, G-SENT, 2-JFJC, 9H-AYS, 9H-NSV, CS-NSV"
OY-DBS,Dassault Falcon 8X,431,2017,2017-2025,FA8X,"F-WWNE, OY-DBS, Danfoss, F-HYTV"
OY-BHC,Cessna T303 Crusader,T30300143,1982,1986-1988,C303,"(N5524C), SE-IHZ, OY-BHC Fyn Air Taxi, PH-JAF, D-IRAS, N30WA, 5H-AAI"
OY-XRC,Rolladen-Schneider LS 7/7WL,7048,1989,"1989-2003,
2006",,"D-5168, OY-XRC competition number RC, damaged 2.7.2002 Kronosberghed in Skåne, Sweden. Restored as a LS 7WL, competition number 1S, CC"
OY-OST (2),Mooney M.20R Ovation 2GX,29-0485,2007,2010-2025,M20P,"N1038V, OY-OST,"
OY-NZT,Aeritalia/SNIAS ATR-72-212A 600,1448,,2025,,"F-WWEU, G-IACY, OY-NZT"
OY-NZS,Aeritalia/SNIAS ATR-72-212A 600,1312,,2025,,"F-WWES, F-WNUB, HZ-MHH, LZ-DAH, G-CMFI, OY-NZS"
OY-MMO,Boeing 737-3L9,"24219
1600",1988,"(1988) 
1992-1995",B733,"N1786B, (OY-MMO), G-BOZB, (PH-OZB), G-BOZB, OY-MMO Maersk Air, EC-996, OY-MMO, PH-TSW, N219TY, (G-IGOD), G-IGOX, G-ZAPW, N421AU, PP-YBC, N219AE, HP-2011UCG"
OY-JTP,Boeing 737-79L,34022 1786,2005,2018-2025,B737,"N1786B, B-5217, LZ-AWL, OY-JTP Jettime, broken up"
OY-JRF (2),Aeritalia/SNIAS ATR-42-500,807,2009,2025,,"F-WWLX, F-OIXE, OY-JRF"
OY-HSV,Robinson R44 Astro,0616,1999,1999-2001,R44,"OY-HSV, LN-OGR, WFU 2025"
OY-HPU,Eurocopter EC135 T2+,0274,2003,2012-2025,EC35,"F-HERO, OY-HPU Andersen & Skouboe I/S,"
OY-HOK,Eurocopter EC225 LP Super Puma,2839,2012,2012-2018,EC25,"F-WWOI, OY-HOK DanCopter A/S, VP-CBU, N252EV, PS-OFN"
OY-FFL,Tecnam P2006T NG,1016,,2025,,
OY-CYD,Cessna 501 Citation I/SP,501-0161,1980,1989-1994,C501,"N1955E, OY-CYD, N5UM, XB-FXO, XB-GRE, N501FP, N96MB, N967B, ZS-APK"
OY-BYZ,Reims Cessna F.337F Super Skymaster,F33700025/33701333,1970,1985-2025,C337,"(N1733M), D-IHAW, OY-BYZ, SE-LSS"
OY-HBB (2),Airbus Helicopters H130 (EC 130T2),9794,2025,2026,,OY-HBB BlackBird Aviation
OY-OBC,Cessna 421A,421A0013,1968,2000-2006,C421,"N2213Q, (N4031L), OH-CBC, OY-OBC, EC-KAR, stored Madrid-Cuatro Vientos, Spain (LECU)"
OY-XWX,Rolladen-Schneider LS 7-WL,7137,1991,2006-2012,,"D-3673, OO-YOG, OY-XWX competition number BG, UR-PHKW, UR-BHKW, UR-LIMA"
OY-XUL (1),Schempp-Hirth Ventus 3T,103TP,,(2016),,"D-KXUL,(OY-XUL)SG-70 Herning competition number BI, crashed 16.4.2021 near Arnborg, D-KXUL"
OY-XUH,Hoffmann H-36 Dimona,36208,1986,2004-2023,DIMO,"G-BMSK, G-LIDR, OY-XUH competition number UH, OK-0087"
OY-XJP,Rolladen-Schneider LS 3-a,3380,1979,1979-2014,,"OY-XJP Aalborg Aero Sport, competition number 00, G-TANO, D-0133"
OY-TVA,Reims Cessna F.152,F1521525,1978,1998-2023,C152,"D-EACY, OY-TVA, SP-MKV"
OY-SEF,Boeing 737-382,"25162
2241",1992,1998-2001,B733,"CS-TIL, OY-SEF Sterling European, F-GNFH, N161LF, LY-SKW, EX-37301, YR-CBK, WFU 2020"
OY-MIC,Cessna 182P Skylane,63880/0012,1975,(2011),C182,"(N6887M), LN-ASM, (OY-MIC), LN-ASM, reported sold to Denmark 2022, LN-ASM, SP-ASM"
OY-MAA (1),Boeing 737-5L9,"24778
1816",1990,"1990-1993,
1998-2002,
2004-2008",B735,"(OY-MMW), OY-MAA Maersk Air, HL7230, G-MSKD, OY-MAA, ES-ABF, OY-MAA, Maersk Air, Sterling, Jettime A/S, Sterling.com, N494ST storage in Phoenix Deer Valley, AZ, USA nov. 2008-2009, YR-BAG, WFU 2025"
OY-LXM,Schleicher ASW 24,24092,1990,2007-2014,,"SE-UIE, OY-LXM competition number LM, SE-UIE, D-3989"
OY-JXK,DG Flugzeugbau DG-808C,8-370B269X33,2007,2008-2018,DG80,"D-KKJD, OY-JXK competition number DD, (D-KADD), D-KRDD"
OY-GOL,Cameron TR-70,10903,2006,2006-2019,,"OY-GOL, UR-GOK"
OY-CXC,Schleicher ASW 27,27008,1996,2005-2008,,"D-6642, OY-CXC competition number CC, D-9767, OM-7867"
OY-NRK,Piper PA-38-112 Tomahawk,38-79A-0745,1979,2018-2022,PA38,"SE-ICF, (OE-), D-ESOL, LN-NRK, OY-NRK, D-EOYD"
OY-,Piper M700 Fury,46020080,2025,,,"N80FY, OY-"
OY-ZXN,Grob G103 Twin II,3525,1980,2019-2025,,"D-8750, OY-ZXN, exported"
OY-SLD,De Havilland DHC-6-300 Twin Otter,799,1982,1990-1990,DHC6,"C-GDFT, C-GGBE, A4O-DA, OY-SLD Sataircraft, 5Y-KEG, 5H-KEG"
OY-RJK,Canadair CL-600-2B19 Regional Jet CRJ-200ER,7622,2002,2014-2015,CRJ2,"C-FMLT, C-GJYV, EC-IDC, OY-RJK Cimber A/S, EC-MJE, (9N-..),ES-MCR, N622CN, 8R-"
OY-NZR,Aeritalia / SNIA ATR 72-212A 600 Version,1231,2015,2025,,"F-WWEF, HK-5109, N231EB, M-ABPO, G-CMEI, OY-NZR"
OY-NTE,Piper PA-46-701P M700 Fury,46020033,,2025,,"N33FY, OY-NTE"
OY-NRG (2),Dassault Falcon 6X,024,2025,2025,,"F-WZOV, OY-NRG Air Alsie"
OY-NRG (1),Dassault Falcon 6X,022,2025,(2023),,"F-WZOT, (OY-NRG) Air Alsie, 9H-BEAR"
OY-NZH,Aeritalia/SNIAS ATR 72-600 (72-212A,1165,2014,2024-2025,AT76,"F-WWEF, OY-JZF Jettime/SAS ""Skjalm Viking"", ES-ATD, OY-NZH, HK-5464"
OY-JTK,Boeing 737-4Y0(F),"24903
1978",1991,2014-2017,B734,"9M-MJN, OK-WGF, UR-VVN, M-ABCO, UR-VVN, N451KA, G-JMCS, N451KA, OY-JTK Jettime, G-JMCS, wfu 2025 Sofia, Bulgaria"
OY-JES(2),Cessna 182P Skylane,18261259,1972,2025,,"N20853, SE-FXV, LN-FXV, OY-JES"
OY-HOR,Eurocopter EC 225LP Super Puma II,2862,,(2012),EC25,"F-WWOF, (OY-HOR) DanCopter A/S, LN-OYX, VP-CBW, N255EV, B-72G6"
OY-EBW (2),Aeritalia/SNIAS ATR 72-600 (72-212A),1120,,(2013),,"F-WWEI, (JA01LK), (OY-EBW), F-WKVH, OY-JZC ""Torver Viking"", ES-ATE, OY-NZF, HK-5466 / FAC1167"
OY-BBR,Piper PA-28-140 Cherokee,28-22877,1967,1967-2025,P28A,"OY-BBR, SP-"
